handle,tag,depth,seed,type,language,language_default_policy,lang_confidence,n_msgs,n_posts,n_text_msgs,n_forward_msgs,median_views,subscribers,modal_hour_utc
shumilovaeb,ru,2,False,channel,ru,ru,1.0,59,34,34,1,78,229,10
shurygin_vladislav,ru,2,False,channel,ru,ru,1.0,178,168,166,8,2009,14696,11
shvabe_news,ru,2,False,channel,ru,ru,1.0,31,24,24,5,489,3646,9
shvytkin,ru,2,False,channel,ru,ru,1.0,23,16,13,0,432,880,8
shyeppsha,ru,2,False,channel,ru,ru,0.985,398,377,137,170,2388,6316,13
sib_fm,ru,2,False,empty,unknown,unknown,0.0,0,0,0,0,,11,
sibcultprivet,ru,2,False,channel,ru,ru,1.0,168,77,75,5,3201,14166,5
sibcyrulik,ru,2,False,channel,ru,ru,0.986,100,100,100,14,1386,3138,15
sibeconomist,ru,2,False,channel,ru,ru,1.0,164,114,111,39,251,1247,2
siberiantiger_center,ru,2,False,channel,ru,ru,1.0,44,24,24,9,970,2965,12
sibfuofficial,ru,2,False,channel,ru,ru,1.0,123,88,79,11,3223,13880,5
sibirmedia,ru,2,False,channel,ru,ru,1.0,335,198,198,83,3982,8198,5
sibnia_ru,ru,2,False,channel,ru,ru,1.0,18,9,9,3,1182,1894,8
sibrealii,ru,2,False,channel,ru,ru,1.0,715,650,646,85,3707,18073,9
sibur_dao,ru,2,False,channel,ru,ru,1.0,36,22,22,0,734,14597,9
siburofficial,ru,2,False,channel,ru,ru,1.0,38,26,25,1,3436,28811,8
sidimnaberegu,ru,2,False,channel,ru,ru,1.0,67,67,66,7,2613,4054,8
sidorchik1976,ru,2,False,channel,ru,ru,0.995,220,202,200,119,555,2918,10
sidorovmv,ru,2,False,channel,ru,ru,1.0,64,31,31,30,687,1146,23
sidpolit,ru,2,False,channel,ru,ru,1.0,233,233,225,146,991,8057,11
siioviki,ru,2,False,channel,unknown,unknown,0.0,5,5,0,0,5446,321,8
silenceworkshop,ru,2,False,channel,ru,ru,1.0,14,9,8,0,1101,3280,7
simbirskcity,ru,2,False,channel,ru,ru,1.0,673,391,390,489,528,2592,12
simple_kot1,ru,2,False,channel,ru,ru,1.0,17,14,14,0,2882,3881,8
sinatech,ru,2,False,empty,unknown,unknown,0.0,0,0,0,0,,2604,
sindbad_snegohod,ru,2,False,channel,ru,ru,1.0,278,246,246,20,661,2482,10
sinelor,ru,2,False,channel,ru,ru,1.0,46,46,46,4,8675,4807,12
sinod,ru,2,False,channel,ru,ru,1.0,17,17,15,1,3710,3881,10
sinteza_org,ru,2,False,channel,ro,ro,1.0,387,387,387,0,31,8,9
sipsikova,ru,2,False,channel,ru,ru,0.997,141,138,138,7,1320,2362,14
sirius_talents,ru,2,False,channel,ru,ru,1.0,34,6,5,0,3513,14362,10
siriusfederal,ru,2,False,channel,ru,ru,1.0,90,31,31,0,4495,19930,13
sisumasis,ru,2,False,channel,ru,ru,0.997,1435,1286,1272,153,4930,23866,7
sith_content,ru,2,False,empty,unknown,unknown,0.0,0,0,0,0,,,
sitrepmaps,ru,2,False,channel,en,en,1.0,302,157,157,2,237,4473,9
sitrepvids,ru,2,False,empty,unknown,unknown,0.0,0,0,0,0,,0,
sivkov_k,ru,2,False,channel,ru,ru,1.0,6,6,5,4,23663,23443,15
siz_inna,ru,2,False,empty,unknown,unknown,0.0,0,0,0,0,,,
