handle,tag,depth,seed,type,language,language_default_policy,lang_confidence,n_msgs,n_posts,n_text_msgs,n_forward_msgs,median_views,subscribers,modal_hour_utc
aeronetnews,cz,0,True,channel,cs,cs,1.0,33,33,33,0,12155,10946,18
casusbellilive,cz,0,True,channel,sk,sk,0.982,4492,3671,3472,971,7184,40463,17
cz24news,cz,0,True,channel,cs,cs,0.991,2914,2718,2675,1,5735,29718,3
dannykollar,cz,0,True,channel,sk,sk,1.0,20,20,18,0,80767,54462,14
datelsk,cz,0,True,empty,unknown,unknown,0.0,0,0,0,0,,7999,
dkbleskovky,cz,0,True,channel,sk,sk,0.904,243,242,210,0,10026,26033,12
ereport,cz,0,True,channel,unknown,unknown,0.0,524,524,524,0,2014,10974,14
harabin,cz,0,True,channel,sk,sk,1.0,758,725,681,576,2610,11308,8
hlavnespravy1,cz,0,True,channel,sk,sk,0.988,1330,1324,1323,1,3521,14319,7
hricalubos,cz,0,True,channel,sk,sk,1.0,5,5,5,0,22111,10281,18
infovojnaofficial,cz,0,True,channel,sk,sk,1.0,357,357,357,0,17876,49790,9
investigativnyblogsk,cz,0,True,channel,sk,sk,0.986,1133,1001,970,250,2847,18115,19
juditalassakova,cz,0,True,channel,sk,sk,1.0,40,39,37,1,14014,17640,8
lenockattt,cz,0,True,empty,unknown,unknown,0.0,0,0,0,0,,21120,
lubosblahasmer,cz,0,True,channel,sk,sk,1.0,75,57,55,0,28924,36065,11
marsalmalinovskij,cz,0,True,channel,cs,cs,0.988,83,69,67,0,5360,20960,16
metapolitika,cz,0,True,channel,sk,sk,1.0,73,67,60,0,9180,15571,19
milan_uhrik,cz,0,True,channel,sk,sk,1.0,70,69,68,7,7675,13002,9
mimisramova,cz,0,True,channel,sk,sk,0.97,586,569,438,0,2201,27578,21
miro_del,cz,0,True,channel,sk,sk,1.0,890,713,713,0,4168,16038,7
miroheredos,cz,0,True,channel,sk,sk,1.0,46,46,40,0,5320,11868,11
miroslavkamensky,cz,0,True,empty,unknown,unknown,0.0,0,0,0,0,,23807,
nect24,cz,0,True,channel,cs,cs,0.997,2217,1855,1837,21,5424,32674,8
otevrisvoumysl,cz,0,True,channel,cs,cs,1.0,25,25,25,2,15059,16747,15
paralelne,cz,0,True,channel,cs,cs,1.0,3,3,3,0,2273,10921,14
pavelkamas,cz,0,True,channel,cs,cs,1.0,23,23,19,1,11962,11897,17
prinasame_nadej,cz,0,True,channel,sk,sk,1.0,34,32,21,1,6959,8700,16
realfikisulik,cz,0,True,empty,unknown,unknown,0.0,0,0,0,0,,22290,
selskyrozum,cz,0,True,channel,cs,cs,0.994,3819,3357,3353,68,2412,12443,19
slobodnyvysielac,cz,0,True,channel,sk,sk,0.993,674,674,419,10,2382,12839,23
slovanskenoviny,cz,0,True,channel,sk,sk,0.991,1912,1822,1793,40,2045,14712,9
slovenskymedved,cz,0,True,empty,unknown,unknown,0.0,0,0,0,0,,17577,
smersd,cz,0,True,channel,sk,sk,1.0,50,49,46,0,7933,14017,17
spravy_slovakia,cz,0,True,empty,unknown,unknown,0.0,0,0,0,0,,11675,
sutajestoksr,cz,0,True,empty,unknown,unknown,0.0,0,0,0,0,,9648,
to_je_nas_svet,cz,0,True,channel,cs,cs,1.0,1301,1254,1254,0,1939,12134,8
tomastaraba,cz,0,True,channel,sk,sk,1.0,8,8,4,0,7023,9046,8
veciverejne,cz,0,True,channel,sk,sk,0.957,224,224,224,0,2670,7716,14
zemavek,cz,0,True,channel,sk,sk,1.0,1808,1733,1731,0,7226,32973,7
zoroslav,cz,0,True,empty,unknown,unknown,0.0,0,0,0,0,,18571,
asupersharij,ru,0,True,channel,ru,ru,0.991,1140,1006,989,0,832194,1598565,8
boris_rozhin,ru,0,True,channel,ru,ru,1.0,2700,1844,1813,895,362946,746799,10
dva_majors,ru,0,True,channel,ru,ru,1.0,1062,879,870,267,80864,1167235,19
karaulny,ru,0,True,channel,ru,ru,1.0,6614,5539,5491,6600,16221,120145,15
legitimniy,ru,0,True,channel,ru,ru,1.0,252,227,227,13,505485,1051272,7
mash,ru,0,True,channel,ru,ru,1.0,570,438,438,110,762887,3120883,11
rvvoenkor,ru,0,True,channel,ru,ru,1.0,2177,1453,1452,65,458812,1470176,19
rybar,ru,0,True,channel,ru,ru,1.0,709,609,586,182,392230,1544655,6
warfakes,ru,0,True,channel,ru,ru,1.0,882,376,371,13,129820,396454,13
wargonzo,ru,0,True,channel,ru,ru,1.0,482,235,235,109,546536,752765,7
africaintel,cz,1,False,channel,en,en,1.0,515,473,466,13,1188,16809,19
akoinak,cz,1,False,empty,unknown,unknown,0.0,0,0,0,0,,14,
akwsk,cz,1,False,channel,sk,sk,0.955,588,587,503,11,4921,10863,20
altimurla,cz,1,False,channel,ru,ru,1.0,69,69,69,51,233,2391,18
anna_news,cz,1,False,channel,ru,ru,1.0,1024,800,791,87,104647,238929,14
aussiecossack,cz,1,False,channel,en,en,1.0,358,276,263,103,12732,79909,11
aviapro1,cz,1,False,channel,ru,ru,0.997,2519,1996,2393,0,9104,44597,12
azovsof,cz,1,False,empty,unknown,unknown,0.0,0,0,0,0,,692,
badhisto,cz,1,False,empty,unknown,unknown,0.0,0,0,0,0,,169,
balkanossiper,cz,1,False,channel,ru,ru,1.0,140,114,114,20,9883,28663,14
bearitarmy,cz,1,False,empty,unknown,unknown,0.0,0,0,0,0,,425,
belarusian_silovik,cz,1,False,channel,ru,ru,0.997,1266,1124,1119,146,14873,449791,7
belta_telegramm,cz,1,False,channel,ru,ru,1.0,5321,4315,4296,220,5786,81404,8
brigade128,cz,1,False,channel,uk,uk,1.0,27,24,16,0,11862,5891,6
bro571,cz,1,False,empty,unknown,unknown,0.0,0,0,0,0,,25,
brussinf,cz,1,False,channel,ru,ru,1.0,150,138,137,40,77237,110039,15
btr80,cz,1,False,channel,ru,ru,0.997,713,542,541,91,53612,146298,17
bulgariaz,cz,1,False,channel,bg,bg,1.0,2072,1895,1779,551,239,4517,14
buntcg,cz,1,False,channel,mk,mk,0.997,796,712,684,34,21889,78854,14
cactus_bielli,cz,1,False,channel,sk,sk,1.0,3559,2584,2581,4,378,1598,22
cactus_bielli_media,cz,1,False,channel,unknown,unknown,0.0,468,227,0,0,14,53,10
casusbelli,cz,1,False,empty,unknown,unknown,0.0,0,0,0,0,,,
casusbellichat,cz,1,False,empty,unknown,unknown,0.0,0,0,0,0,,8591,
casusbellihistory,cz,1,False,channel,sk,sk,0.986,287,260,259,82,550,3146,8
chdambiev,cz,1,False,channel,ru,ru,0.997,618,449,445,129,71200,104514,8
cig_telegram,cz,1,False,channel,en,en,0.991,938,703,662,367,7597,117297,19
code17tv,cz,1,False,channel,hr,hr,0.971,134,128,124,16,7969,18468,21
conematevedet,cz,1,False,channel,cs,cs,0.989,2435,2152,1867,1377,1012,8165,12
deziderhorvath,cz,1,False,channel,sk,sk,0.954,48,47,47,1,419,185,17
dillfrash,cz,1,False,channel,ru,ru,1.0,2123,944,942,548,9255,23057,13
dkdennespravy,cz,1,False,empty,unknown,unknown,0.0,0,0,0,0,,248,
dkulko,cz,1,False,channel,ru,ru,1.0,30,26,25,2,37625,31845,9
donbassdevushka,cz,1,False,empty,unknown,unknown,0.0,0,0,0,0,,333,
dozorbalkan,cz,1,False,channel,ru,ru,1.0,318,258,258,300,153,1338,15
dv_sablin,cz,1,False,channel,ru,ru,1.0,39,26,26,0,17306,5371,18
dvapolypolitiky,cz,1,False,channel,sk,sk,0.976,37,37,33,5,1159,1501,10
econopocalypse,cz,1,False,channel,ru,ru,1.0,11,11,11,5,3319,2492,14
epoddubny,cz,1,False,channel,ru,ru,1.0,324,285,284,78,424467,576438,10
estlatlitv,cz,1,False,channel,ru,ru,1.0,32,32,32,10,3803,3015,11
esttakaiaprofessia,cz,1,False,channel,ru,ru,0.997,79,63,60,1,6818,5906,8
evgeniy_lisitsyn,cz,1,False,channel,ru,ru,0.994,163,131,129,29,35410,57169,14
faceofwar,cz,1,False,channel,ru,ru,1.0,796,633,617,85,39733,97566,5
favelasemrus,cz,1,False,channel,ru,ru,0.997,127,112,112,47,1849,3253,21
fifthrepublic,cz,1,False,channel,ru,ru,0.988,115,54,52,32,1995,4426,13
fighter_bomber,cz,1,False,empty,unknown,unknown,0.0,0,0,0,0,,2245,
genivansevcik,cz,1,False,channel,sk,sk,0.973,347,329,279,145,1378,6378,16
gmail,cz,1,False,empty,unknown,unknown,0.0,0,0,0,0,,6802,
go338,cz,1,False,channel,ru,ru,1.0,391,284,269,89,9394,145268,17
gubernator_46,cz,1,False,channel,ru,ru,1.0,134,37,37,9,64054,184440,13
heilukraine1959serb,cz,1,False,channel,mk,mk,0.988,65,29,29,25,300,385,21
highlylikely20,cz,1,False,channel,ru,ru,1.0,847,766,761,2,2475,9826,6
iii_sestry,cz,1,False,channel,ru,ru,1.0,40,34,34,0,2371,8339,14
imerelgia,cz,1,False,channel,ru,ru,1.0,74,73,73,43,4621,17033,13
infantmilitario,cz,1,False,channel,ru,ru,1.0,1410,1352,1351,3,69245,276971,8
intelslava,cz,1,False,channel,en,en,0.997,1026,890,883,32,115071,398125,6
izabela1,cz,1,False,group,sk,sk,0.955,991,959,794,188,2021,1003,16
jaxtellersk,cz,1,False,channel,sk,sk,0.997,126,126,92,0,328,2785,6
jokerdpr,cz,1,False,channel,ru,ru,1.0,31,27,27,0,536469,182693,4
jsbeznahubku,cz,1,False,channel,sk,sk,1.0,45,44,28,0,4685,7548,7
katya_valya_dnr,cz,1,False,channel,ru,ru,0.983,168,131,130,13,15514,32421,16
kosachev62,cz,1,False,channel,ru,ru,1.0,28,28,28,10,1272,2866,11
kremlebezbashennik,cz,1,False,empty,unknown,unknown,0.0,0,0,0,0,,66835,
ksbspravy,cz,1,False,channel,sk,sk,0.996,2394,2269,2238,254,951,5690,9
kulovy_blesk_cz,cz,1,False,channel,cs,cs,1.0,1049,888,885,1,1499,3299,5
kulturblog,cz,1,False,empty,unknown,unknown,0.0,0,0,0,0,,56,
kyivoperativ,cz,1,False,empty,unknown,unknown,0.0,0,0,0,0,,810,
laprimaveradelpatriarca,cz,1,False,channel,ru,ru,1.0,106,90,88,83,119,439,6
lgbtiqmilitary,cz,1,False,channel,uk,uk,0.976,21,15,15,8,1446,3110,18
lobaev_vlad,cz,1,False,channel,ru,ru,0.994,115,101,99,50,51971,73510,8
lost_armour,cz,1,False,channel,bg,bg,0.984,66,50,50,1,14601,86490,18
marianduris,cz,1,False,empty,unknown,unknown,0.0,0,0,0,0,,2932,
mariavladimirovnazakharova,cz,1,False,channel,ru,ru,1.0,204,168,154,67,231080,469801,16
medvedev_telegram,cz,1,False,channel,ru,ru,1.0,19,19,19,0,2244164,1730126,12
mig41,cz,1,False,channel,ru,ru,1.0,971,925,902,198,178235,490050,12
mikayelbad,cz,1,False,channel,ru,ru,1.0,490,475,465,259,8387,32549,8
milanmazurek,cz,1,False,channel,sk,sk,1.0,48,47,45,38,3886,10328,13
milchronicles,cz,1,False,empty,unknown,unknown,0.0,0,0,0,0,,1107,
milinfolive,cz,1,False,channel,ru,ru,1.0,1208,793,793,28,196307,612820,9
militarymaps,cz,1,False,channel,ru,ru,0.981,621,527,522,478,8539,28049,20
mitopp,cz,1,False,empty,unknown,unknown,0.0,0,0,0,0,,0,
mod_russia,cz,1,False,channel,ru,ru,1.0,792,641,635,35,123865,592928,11
mueslilavrova,cz,1,False,empty,unknown,unknown,0.0,0,0,0,0,,185,
navideovidno,cz,1,False,channel,ru,ru,1.0,931,894,892,929,12206,109733,10
neoficialniybezsonov,cz,1,False,channel,ru,ru,1.0,102,82,82,0,668833,248482,5
new_militarycolumnist,cz,1,False,channel,ru,ru,1.0,1509,1315,1315,7,60020,206656,11
newsfactory_pl,cz,1,False,channel,pl,pl,1.0,2333,1909,1772,0,1010,14926,14
nexta_live,cz,1,False,channel,ru,ru,1.0,1990,1563,1563,27,421754,764402,9
novichokrossiya,cz,1,False,empty,unknown,unknown,0.0,0,0,0,0,,46,
oboronka_channel,cz,1,False,channel,ru,ru,1.0,100,70,70,2,8849,52451,8
oleg_blokhin,cz,1,False,channel,ru,ru,1.0,160,124,123,132,10699,66217,10
ombr47,cz,1,False,channel,uk,uk,1.0,31,28,27,1,25798,23098,8
operline_ru,cz,1,False,channel,ru,ru,1.0,356,356,355,5,11713,40571,16
orchestra_w,cz,1,False,channel,ru,ru,1.0,571,390,389,64,320676,204557,18
parstodayrussian,cz,1,False,channel,ru,ru,0.991,2781,2171,2175,7,1034,29196,19
pavel_kamas,cz,1,False,empty,unknown,unknown,0.0,0,0,0,0,,,
petrburestv,cz,1,False,empty,unknown,unknown,0.0,0,0,0,0,,47,
pl_syrenka,cz,1,False,channel,ru,ru,1.0,210,198,198,81,4523,14597,6
playcivilization,cz,1,False,channel,ru,ru,1.0,52,50,49,28,3900,12202,18
poisk_mil,cz,1,False,channel,ru,ru,1.0,321,193,193,75,10975,29187,5
polkazov,cz,1,False,empty,unknown,unknown,0.0,0,0,0,0,,881,
pqntc1,cz,1,False,channel,ru,ru,0.997,172,160,159,60,1060,5350,19
presstv,cz,1,False,channel,en,en,0.997,1738,1607,1586,101,1142,94090,18
prigozhin_hat,cz,1,False,channel,ru,ru,1.0,216,193,114,0,142872,210351,10
privetfidel,cz,1,False,channel,ru,ru,0.997,108,98,98,42,400,945,8
ptsr_team,cz,1,False,channel,ru,ru,1.0,380,302,288,23,14992,38286,5
qmartincornel,cz,1,False,channel,cs,cs,1.0,789,369,319,32,1566,3915,18
radical_sh8p,cz,1,False,empty,unknown,unknown,0.0,0,0,0,0,,51,
ramzayiegokomanda,cz,1,False,channel,ru,ru,0.981,175,162,159,24,49881,154188,16
razved_dozor,cz,1,False,channel,ru,ru,1.0,279,184,184,161,28145,51552,14
razvedosaa,cz,1,False,channel,ru,ru,0.994,358,204,202,3,68434,137279,4
readovkaru,cz,1,False,empty,unknown,unknown,0.0,0,0,0,0,,73,
rezident_ua,cz,1,False,channel,ru,ru,1.0,437,402,402,66,458101,930714,9
riafan_everywhere,cz,1,False,channel,ru,ru,1.0,760,646,631,185,8282,14952,17
rian_ru,cz,1,False,empty,unknown,unknown,0.0,0,0,0,0,,3038108,
rt_russian,cz,1,False,empty,unknown,unknown,0.0,0,0,0,0,,988802,
rtbalkan_ru,cz,1,False,empty,unknown,unknown,0.0,0,0,0,0,,7025,
rtechnocom,cz,1,False,channel,ru,ru,1.0,144,143,135,66,4101,18459,12
rtrdonetsk,cz,1,False,channel,ru,ru,0.989,133,124,124,2,233473,157576,6
rubej99,cz,1,False,channel,ru,ru,0.994,1762,1417,1362,266,5207,6896,14
rudenko,cz,1,False,empty,unknown,unknown,0.0,0,0,0,0,,,
ruptlyalert,cz,1,False,channel,ru,ru,1.0,535,535,519,0,5443,51904,9
rusich_army,cz,1,False,channel,ru,ru,1.0,276,256,217,30,468309,1038503,11
russkiegramoty,cz,1,False,empty,unknown,unknown,0.0,0,0,0,0,,313,
rusvesnasu,cz,1,False,channel,ru,ru,1.0,473,230,230,155,97806,132937,11
sargon_hadaya,cz,1,False,channel,ru,ru,1.0,14,14,14,0,184428,2841,10
sashakots,cz,1,False,channel,ru,ru,1.0,383,342,342,180,276922,478191,9
sex_drugs_kahlo,cz,1,False,channel,ru,ru,1.0,163,149,147,43,9298,30405,20
sheyhtamir1974,cz,1,False,channel,ru,ru,1.0,2435,2060,2031,878,159698,393407,8
slavyangrad,cz,1,False,channel,en,en,1.0,4363,3455,3429,88,13823,114920,7
solovievlive,cz,1,False,channel,ru,ru,1.0,5841,4814,4628,3012,301172,1103837,12
somslovan,cz,1,False,group,sk,sk,1.0,205,205,41,0,,6182,7
south0wind,cz,1,False,channel,ru,ru,1.0,24,24,24,3,43356,13058,10
sputnikbrasil,cz,1,False,empty,unknown,unknown,0.0,0,0,0,0,,66177,
stranaua,cz,1,False,channel,ru,ru,1.0,5133,3758,3758,0,76992,329760,16
supernova_plus,cz,1,False,channel,ru,ru,0.996,917,902,902,1,26951,281333,6
svsk_archiv,cz,1,False,channel,sk,sk,0.997,115,115,115,0,752,3403,17
swodki,cz,1,False,channel,ru,ru,1.0,11576,8210,7897,146,43335,221636,14
tankist4,cz,1,False,empty,unknown,unknown,0.0,0,0,0,0,,75,
tankworld,cz,1,False,empty,unknown,unknown,0.0,0,0,0,0,,,
tasmanian_diablo,cz,1,False,channel,ru,ru,1.0,74,73,73,10,1446,14337,13
tass_agency,cz,1,False,channel,ru,ru,1.0,4023,3833,3833,0,46928,566079,9
the_wrong_side,cz,1,False,channel,ru,ru,1.0,600,444,443,194,11625,131281,11
trackamerc,cz,1,False,channel,en,en,1.0,761,194,192,28,9946,69673,10
trueshniy,cz,1,False,channel,ru,ru,1.0,45,40,40,25,7643,4323,11
truthsocialappofficial,cz,1,False,channel,en,en,1.0,8,8,8,0,29496,,16
tupireport,cz,1,False,channel,en,en,0.997,608,552,524,40,6875,18248,18
tvrussia1,cz,1,False,empty,unknown,unknown,0.0,0,0,0,0,,67381,
ukraina24tv,cz,1,False,empty,unknown,unknown,0.0,0,0,0,0,,140443,
ukrainehumanrightsabuses,cz,1,False,empty,unknown,unknown,0.0,0,0,0,0,,754,
ukrainian_militant,cz,1,False,channel,uk,uk,0.997,983,805,750,251,16583,62569,10
uranews,cz,1,False,channel,ru,ru,1.0,875,797,793,0,73479,223831,8
v_zelenskiy_official,cz,1,False,channel,en,en,0.845,366,180,180,0,624247,675051,9
vakulinchuk,cz,1,False,channel,es,es,0.994,374,325,322,59,4543,14864,12
vedomostneasocialnekvizyaankety,cz,1,False,channel,unknown,unknown,0.0,1,1,0,0,2548,663,12
venez_ahora,cz,1,False,channel,ru,ru,1.0,183,154,152,128,132,2892,20
vladlentatarsky,cz,1,False,channel,ru,ru,0.985,486,447,415,211,253820,177006,16
voenacher,cz,1,False,channel,ru,ru,0.992,1695,1358,1340,324,253583,660377,7
voenkorkotenok,cz,1,False,channel,ru,ru,1.0,726,585,582,160,185855,316377,18
voin_dv,cz,1,False,channel,ru,ru,1.0,404,320,318,74,17457,147643,16
voynareal,cz,1,False,channel,uk,uk,0.987,2938,2259,2259,4,427100,1526599,11
vysokygovorit,cz,1,False,channel,ru,ru,1.0,216,198,197,88,354915,490711,19
warhistoryalconafter,cz,1,False,channel,ru,ru,0.997,5288,3915,3881,153,80826,484670,15
warjournaltg,cz,1,False,channel,ru,ru,0.991,429,237,237,342,11458,20857,13
wearegruz,cz,1,False,empty,unknown,unknown,0.0,0,0,0,0,,29,
western_trad,cz,1,False,channel,ru,ru,1.0,381,365,341,3,3285,11851,15
wingsofwar,cz,1,False,channel,ru,ru,0.997,117,81,79,42,14045,23893,6
xoxol_uk,cz,1,False,empty,unknown,unknown,0.0,0,0,0,0,,87949,
xronikabpla,cz,1,False,channel,ru,ru,0.997,308,206,196,42,12372,55090,6
yaremshooter,cz,1,False,channel,ru,ru,1.0,218,133,132,177,57206,47259,11
yurasumy,cz,1,False,channel,ru,ru,1.0,451,413,408,140,1856931,2699896,7
z4lpr,cz,1,False,channel,ru,ru,0.993,31,31,29,7,100194,49313,17
za_froht,cz,1,False,channel,ru,ru,1.0,1364,1063,1060,362,5876,85425,15
zastavnyii,cz,1,False,empty,unknown,unknown,0.0,0,0,0,0,,1683,
zlataera,cz,1,False,channel,sk,sk,1.0,29,29,29,1,4216,6551,9
zsu45oabr,cz,1,False,channel,uk,uk,1.0,49,23,21,10,5442,15428,8
zsu_hunter_2_0,cz,1,False,channel,ru,ru,0.997,89,83,82,11,14637,15685,9
zvezdanews,cz,1,False,channel,ru,ru,1.0,2693,2312,2311,63,20567,125683,11
a_gontar,ru,1,False,empty,unknown,unknown,0.0,0,0,0,0,,,
a_s_sukonkin,ru,1,False,channel,ru,ru,0.997,228,223,221,50,14307,40227,9
a_vyshinskiy,ru,1,False,channel,ru,ru,0.991,381,314,314,35,13892,58801,11
aasafov,ru,1,False,channel,ru,ru,1.0,29,22,22,4,1947,7161,12
aavst2022,ru,1,False,channel,ru,ru,0.997,166,166,165,0,131122,178036,7
abbasdjuma,ru,1,False,channel,ru,ru,1.0,244,176,175,36,11678,64818,9
absatzmedia,ru,1,False,channel,ru,ru,1.0,2612,2443,2367,71,14644,124255,14
act_next,ru,1,False,channel,ru,ru,1.0,22,22,18,1,3358,3669,16
adirect,ru,1,False,channel,ru,ru,0.997,285,268,268,140,3041,14776,14
ads_warfakes_bot,ru,1,False,empty,unknown,unknown,0.0,0,0,0,0,,,
agendarussia,ru,1,False,channel,ru,ru,1.0,385,319,312,347,4952,34955,11
agitpropussr,ru,1,False,channel,unknown,unknown,0.0,6,6,6,0,25496,15980,12
ags_donbass,ru,1,False,channel,ru,ru,1.0,6444,5054,4993,4311,49498,193247,12
akashevarova,ru,1,False,channel,ru,ru,1.0,96,93,92,13,133668,247878,10
akcentysp,ru,1,False,channel,ru,ru,1.0,56,56,55,14,13723,3092,10
akhrolenko,ru,1,False,channel,ru,ru,1.0,32,31,31,5,889,1501,17
akimapachev,ru,1,False,channel,ru,ru,0.994,140,125,110,16,34637,48685,13
akitilop,ru,1,False,channel,ru,ru,1.0,142,134,133,36,3313,7747,18
aksenov82,ru,1,False,channel,ru,ru,1.0,101,63,63,0,54156,141602,9
alchemiedeslebens,ru,1,False,channel,ru,ru,1.0,2,2,2,0,3039,717,10
aleksandrsemchenko,ru,1,False,channel,ru,ru,1.0,517,397,395,4,44362,243875,16
aleksandrsokolov43,ru,1,False,channel,ru,ru,1.0,192,53,53,0,14855,22011,14
alekseystefanov,ru,1,False,channel,ru,ru,1.0,226,201,196,121,2288,16210,9
aleshkii,ru,1,False,channel,ru,ru,0.991,184,147,147,34,398,1516,5
alexandr_malkevich,ru,1,False,channel,ru,ru,1.0,411,262,258,101,13681,63078,15
alexey_pushkov,ru,1,False,channel,ru,ru,1.0,216,214,213,36,11843,41891,14
alexeytexlerofficial,ru,1,False,channel,ru,ru,1.0,55,14,14,0,19755,28571,11
alexeytsydenov,ru,1,False,channel,ru,ru,1.0,96,40,37,10,9065,19030,9
always_open_heart,ru,1,False,channel,ru,ru,1.0,167,59,58,0,2244,1814,15
alx_gnt,ru,1,False,channel,ru,ru,1.0,114,88,75,11,304,380,16
amber_mash,ru,1,False,channel,ru,ru,1.0,138,84,84,4,13083,40731,12
anastasiavasillyeva,ru,1,False,channel,ru,ru,1.0,1,1,1,0,19961,361,11
andrafanaslive,ru,1,False,channel,ru,ru,1.0,215,165,162,96,5529,21535,15
andrey_chibis,ru,1,False,channel,ru,ru,0.997,122,66,65,1,8574,31499,15
andrey_yashchenko,ru,1,False,channel,ru,ru,1.0,5,5,5,1,11052,1396,21
andreyklishas,ru,1,False,channel,ru,ru,0.99,87,84,84,31,7539,18223,4
andreykovalev_russia,ru,1,False,channel,ru,ru,0.994,307,254,247,4,64908,72757,7
andreymikheev,ru,1,False,channel,ru,ru,0.993,86,82,82,35,1533,2048,12
andreyvajra,ru,1,False,channel,ru,ru,1.0,841,760,725,0,9260,33399,8
anna_jurjevna,ru,1,False,channel,ru,ru,0.99,217,154,153,91,1457,20657,8
annashafran,ru,1,False,channel,ru,ru,1.0,126,118,118,80,13848,49197,15
anosolidarnost,ru,1,False,channel,ru,ru,1.0,47,35,35,0,1134,1339,10
anzar_helper,ru,1,False,channel,ru,ru,1.0,20,19,17,0,1953,1303,6
apleonkov,ru,1,False,channel,ru,ru,1.0,559,501,495,356,7710,17775,11
arbaletgovorit,ru,1,False,channel,ru,ru,0.997,468,426,417,59,22538,41712,10
arbata,ru,1,False,empty,unknown,unknown,0.0,0,0,0,0,,194,
archivarius_dz,ru,1,False,channel,ru,ru,0.99,68,62,61,24,17045,22684,12
arkhangelsk01,ru,1,False,channel,ru,ru,1.0,295,188,186,1,8368,31243,13
armenian_life,ru,1,False,channel,ru,ru,0.997,1022,914,910,262,2549,11557,9
armenianvendetta,ru,1,False,channel,ru,ru,1.0,649,599,597,187,6647,30724,8
armnewz,ru,1,False,channel,ru,ru,1.0,706,638,635,325,175,1226,17
army_russia,ru,1,False,channel,ru,ru,1.0,889,742,720,434,4730,15316,8
artemyev_tut,ru,1,False,channel,ru,ru,1.0,50,36,35,14,954,3379,12
artyukhov_da,ru,1,False,channel,ru,ru,1.0,106,22,22,5,15173,25238,11
asgasparyan,ru,1,False,channel,ru,ru,0.972,795,729,727,126,86014,177550,7
asphaltt,ru,1,False,channel,ru,ru,0.992,2037,1809,1806,2015,4192,17802,7
astrahandm,ru,1,False,channel,ru,ru,1.0,292,245,244,193,11196,28305,13
astramilitarum,ru,1,False,channel,ru,ru,1.0,343,216,213,326,3031,21540,10
atn_btrc,ru,1,False,empty,unknown,unknown,0.0,0,0,0,0,,0,
auraxchan,ru,1,False,channel,en,en,0.981,1105,955,935,27,2612,13230,11
aurora_media,ru,1,False,channel,ru,ru,1.0,708,487,481,0,10074,47780,8
av_moor,ru,1,False,channel,ru,ru,1.0,53,34,33,0,10307,17271,13
av_uss,ru,1,False,channel,ru,ru,1.0,31,21,21,0,8808,2625,8
avbogomaz,ru,1,False,channel,ru,ru,1.0,148,60,55,0,18167,49390,13
avdeev_o_vazhnom,ru,1,False,channel,ru,ru,0.989,96,41,40,0,6423,17589,13
avdeevkaru,ru,1,False,channel,ru,ru,0.997,2163,1704,1688,602,7825,14657,13
aviadispet4er,ru,1,False,channel,ru,ru,1.0,549,370,364,534,4705,35100,16
avturow,ru,1,False,channel,ru,ru,1.0,69,44,44,50,575,1435,9
awaken_dragon,ru,1,False,channel,ru,ru,1.0,74,66,65,2,2303,7947,11
azatmale02,ru,1,False,empty,unknown,unknown,0.0,0,0,0,0,,6159,
azesputnik,ru,1,False,empty,unknown,unknown,0.0,0,0,0,0,,22428,
badphrase,ru,1,False,channel,ru,ru,0.986,349,285,285,61,8736,53073,19
bagirov,ru,1,False,channel,ru,ru,1.0,3,3,3,1,112056,2874,7
baltnews,ru,1,False,channel,ru,ru,0.997,1184,1125,1120,53,3387,24224,12
bankrollo,ru,1,False,channel,ru,ru,0.994,771,752,752,11,97307,445774,8
banksta,ru,1,False,channel,ru,ru,1.0,835,810,810,32,95527,436733,9
barantchik,ru,1,False,channel,ru,ru,1.0,373,369,361,160,12949,90887,15
barbie_at_war,ru,1,False,channel,ru,ru,1.0,31,21,19,8,4406,5018,11
barkrf_bot,ru,1,False,empty,unknown,unknown,0.0,0,0,0,0,,,
bash_zhalo,ru,1,False,channel,ru,ru,1.0,54,54,54,25,2829,2300,15
bashankaev,ru,1,False,channel,ru,ru,1.0,175,116,113,75,2881,9169,14
bashk01,ru,1,False,channel,ru,ru,0.994,291,180,180,1,6901,11756,6
bastagd,ru,1,False,channel,it,it,0.995,174,130,129,52,427,3055,6
batalyon15,ru,1,False,channel,ru,ru,1.0,171,139,137,139,4986,18474,14
batukhasikov08,ru,1,False,channel,ru,ru,1.0,148,40,40,1,10117,9915,15
bayraktar1070,ru,1,False,channel,ru,ru,0.985,95,73,73,66,42815,83129,15
bazabazon,ru,1,False,channel,ru,ru,1.0,368,272,272,0,426795,1550650,11
bbbreaking,ru,1,False,channel,ru,ru,1.0,2035,1980,1979,0,523473,1970081,9
bear007,ru,1,False,channel,ru,ru,1.0,1402,1180,1176,86,3738,91198,14
belarus_vpo,ru,1,False,channel,ru,ru,1.0,2373,1734,1733,265,5520,24860,11
beldanger,ru,1,False,empty,unknown,unknown,0.0,0,0,0,0,,,
bellchamber,ru,1,False,channel,ru,ru,1.0,130,90,88,6,6861,10895,10
bellumactanews,ru,1,False,channel,en,en,0.997,973,758,752,524,8548,117481,21
beregtime,ru,1,False,channel,ru,ru,0.994,185,150,150,54,36094,21635,15
beshsuper,ru,1,False,channel,ru,ru,0.994,271,254,249,31,1649,5384,8
