class,<5min,5-60min,1-24h,1-7d,>7d,n_pairs,median_s
same,18900,21731,26793,3073,808,71305,2308.0
cross,62,116,218,43,7,446,7847.0
unknown,30,14,36,15,4,99,5883.0
